longueur d'onde;nitrate de baryum;chlorure de cuivre(II);chlorure de sodium
nm;1u = 3lux;1u = 3lux;1u = 3lux
714,462;59,024;106,085;106,085
714,634;50,341;130,025;130,025
714,806;60,73;103,973;103,973
714,978;49,542;110,408;110,408
715,15;59,11;106,731;106,731
715,322;95,13;104,671;104,671
715,494;66,322;90,575;90,575
715,666;66,497;108,289;108,289
715,838;85,562;115,079;115,079
716,01;73,505;111,752;111,752
716,182;63,491;114,326;114,326
716,353;55,142;86,418;86,418
716,525;52,283;136,691;136,691
716,697;69,975;101,722;101,722
716,869;68,284;101,033;101,033
717,041;84,013;131,735;131,735
717,213;85,82;128,874;128,874
717,385;81,156;91,999;91,999
717,557;86,179;104,705;104,705
717,729;50,661;100,599;100,599
717,901;80,424;124,125;124,125
718,073;56,98;87,228;87,228
718,245;67,509;106,259;106,259
718,417;45,454;94,431;94,431
718,589;64,526;91,674;91,674
718,761;74,007;113,887;113,887
718,933;62,328;93,315;93,315
719,104;56,513;127,005;127,005
719,276;72,906;91,498;91,498
719,448;86,068;106,235;106,235
719,62;68,761;88,756;88,756
719,792;86,304;102,729;102,729
719,964;78,965;108,859;108,859
720,136;71,912;100,668;100,668
720,308;95,004;101,286;101,286
720,48;70,72;102,767;102,767
720,652;60,793;108,519;108,519
720,824;58,48;101,127;101,127
720,996;67,548;76,261;76,261
721,168;72,412;136,681;136,681
721,339;73,076;112,404;112,404
721,511;66,803;101,777;101,777
721,683;93,967;119,395;119,395
721,855;66,537;145,294;145,294
722,027;93,472;110,314;110,314
722,199;73,094;122,973;122,973
722,371;90,307;112,827;112,827
722,543;56,628;120,427;120,427
722,715;67,033;129,04;129,04
722,887;78,967;108,953;108,953
723,059;58,654;114,499;114,499
723,231;79,856;117,999;117,999
723,402;49,887;103,43;103,43
723,574;81,48;119,755;119,755
723,746;54,492;113,029;113,029
723,918;46,269;109,822;109,822
724,09;61,521;101,321;101,321
724,262;52,989;99,842;99,842
724,434;67,648;71,6;71,6
724,606;77,698;121,296;121,296
724,778;52,775;118,075;118,075
724,95;78,87;92,77;92,77
725,121;65,157;86,313;86,313
725,293;83,413;126,731;126,731
725,465;84,891;131,893;131,893
725,637;63,182;93,973;93,973
725,809;90,573;108,81;108,81
725,981;76,967;109,361;109,361
726,153;80,192;106,152;106,152
726,325;84,421;115,764;115,764
726,497;104,711;144,438;144,438
726,669;71,691;135,555;135,555
726,84;51,786;113,543;113,543
727,012;83,62;99,106;99,106
727,184;64,896;116,203;116,203
727,356;70,718;119,177;119,177
727,528;78,534;123,812;123,812
727,7;71,711;106,056;106,056
727,872;71,275;132,864;132,864
728,044;61,749;105,721;105,721
728,216;50,59;103,233;103,233
728,387;84,262;113,178;113,178
728,559;68,224;89,093;89,093
728,731;79,43;122,533;122,533
728,903;76,182;122,956;122,956
729,075;72,528;133,217;133,217
729,247;71,704;99,666;99,666
729,419;71,535;128,917;128,917
729,591;73,504;82,717;82,717
729,763;85,492;122,769;122,769
729,934;79,358;104,382;104,382
730,106;83,704;118,7;118,7
730,278;80,999;125,973;125,973
730,45;62,932;121,905;121,905
730,622;58,6;90,027;90,027
730,794;44,344;91,561;91,561
730,966;57,19;101,39;101,39
731,138;85,89;124,29;124,29
731,309;67,784;100,065;100,065
731,481;91,077;96,737;96,737
731,653;59,594;131,733;131,733
731,825;47,709;137,912;137,912
731,997;62,099;118,776;118,776
732,169;50,841;134,636;134,636
732,341;50,661;112,79;112,79
732,513;85,199;123,456;123,456
732,684;67,084;93,207;93,207
732,856;70,863;128,612;128,612
733,028;78,587;113,522;113,522
733,2;68,361;129,855;129,855
733,372;92,819;139,852;139,852
733,544;81,761;111,103;111,103
733,716;51,863;72,351;72,351
733,888;60,051;149,949;149,949
734,059;73,379;128,311;128,311
734,231;69,473;113,358;113,358
734,403;64,757;128,512;128,512
734,575;64,756;137,209;137,209
734,747;70,348;114,188;114,188
734,919;63,245;74,339;74,339
735,091;85,89;87,586;87,586
735,262;97,768;119,372;119,372
735,434;59,265;105,22;105,22
735,606;60,223;134,451;134,451
735,778;64,238;123,81;123,81
735,95;79,709;119,412;119,412
736,122;59,597;111,183;111,183
736,294;69,333;109,713;109,713
736,465;63,156;126,041;126,041
736,637;79,405;117,032;117,032
736,809;67,521;97,878;97,878
736,981;87,489;129,13;129,13
737,153;70,185;111,12;111,12
737,325;73,535;102,247;102,247
737,497;67,24;100,158;100,158
737,668;80,951;117,036;117,036
737,84;49,321;116,715;116,715
738,012;75,366;115,37;115,37
738,184;90,407;114,308;114,308
738,356;68,123;126,017;126,017
738,528;68,145;130,119;130,119
738,699;69,856;104,675;104,675
738,871;59,019;135,465;135,465
739,043;78,701;169,956;169,956
739,215;59,507;100,308;100,308
739,387;75,792;134,552;134,552
739,559;64,738;109,387;109,387
739,73;73,969;94,301;94,301
739,902;66,841;128,384;128,384
740,074;97,951;117,758;117,758
740,246;71,357;102,271;102,271
740,418;72,851;128,319;128,319
740,59;60,557;130,943;130,943
740,762;80,496;172,087;172,087
740,933;78,887;134,009;134,009
741,105;83,987;72,495;72,495
741,277;66,044;92,942;92,942
741,449;58,921;120,183;120,183
741,621;89,724;118,174;118,174
741,793;86,697;120,626;120,626
741,964;78,468;73,168;73,168
742,136;79,665;145,57;145,57
742,308;89,823;132,497;132,497
742,48;59,348;132,532;132,532
742,652;59,374;135,405;135,405
742,823;73,911;130,312;130,312
742,995;85,349;115,283;115,283
743,167;100,112;163,182;163,182
743,339;90,164;180,619;180,619
743,511;59,601;135,886;135,886
743,683;67,463;150,204;150,204
743,854;56,34;120,407;120,407
744,026;67,996;142,397;142,397
744,198;60,065;107,767;107,767
744,37;60,239;125,585;125,585
744,542;55,57;111,038;111,038
744,714;77,681;138,737;138,737
744,885;62,109;100,402;100,402
745,057;82,465;147,613;147,613
745,229;57,003;138,196;138,196
745,401;84,668;166,523;166,523
745,573;87,73;124,243;124,243
745,744;81,415;93,425;93,425
745,916;64,533;88,603;88,603
746,088;77,326;133,32;133,32
746,26;48,505;102,693;102,693
746,432;60,421;87,689;87,689
746,603;70,27;147,41;147,41
746,775;55,229;85,298;85,298
746,947;73,407;148,548;148,548
747,119;71,291;135,299;135,299
747,291;68,563;168,344;168,344
747,462;64,365;149,708;149,708
747,634;43,789;87,176;87,176
747,806;46,652;141,635;141,635
747,978;42,022;106,943;106,943
748,15;53,773;114,616;114,616
748,322;39,296;104,664;104,664
748,493;61,478;123,847;123,847
748,665;76,494;154,857;154,857
748,837;91,106;180,805;180,805
749,009;49,819;131,423;131,423
749,181;55,792;144,653;144,653
749,352;92,826;135,979;135,979
749,524;70,16;130,259;130,259
749,696;54,064;142,432;142,432
749,868;46,968;118,838;118,838
750,04;59,716;126,792;126,792
750,211;49,146;142,646;142,646
750,383;60,473;140,574;140,574
750,555;45,919;147,342;147,342
750,727;69,97;133,836;133,836
750,898;77,499;109,214;109,214
751,07;90,289;119,921;119,921
751,242;109,156;157,957;157,957
751,414;78,773;189,415;189,415
751,586;59,532;145,327;145,327
751,757;101,454;166,166;166,166
751,929;64,571;118,028;118,028
752,101;58,656;178,962;178,962
752,273;66,852;124,259;124,259
752,445;94,536;166,507;166,507
752,616;64,138;120,606;120,606
752,788;86,376;112,292;112,292
752,96;70,39;102,325;102,325
753,132;55,958;111,247;111,247
753,303;84,766;135,35;135,35
753,475;69,418;86,859;86,859
753,647;80,777;95,49;95,49
753,819;90,812;183,759;183,759
753,991;89,977;138,369;138,369
754,162;79,626;153,709;153,709
754,334;86,289;152,384;152,384
754,506;71,837;131,174;131,174
754,678;69,081;143,847;143,847
754,849;96,494;127,753;127,753
755,021;86,397;172,08;172,08
755,193;55,992;133,243;133,243
755,365;52,281;119,464;119,464
755,537;32,061;102,275;102,275
755,708;69,21;150,938;150,938
755,88;77,763;171,477;171,477
756,052;70,489;114,472;114,472
756,224;107,606;169,521;169,521
756,395;66,593;83,095;83,095
756,567;81,15;179,522;179,522
756,739;96,894;146,114;146,114
756,911;95,481;182,395;182,395
757,082;75,19;126,311;126,311
757,254;81,731;137,135;137,135
757,426;97,558;150,579;150,579
757,598;109,005;151,071;151,071
757,77;100,432;116,912;116,912
757,941;107,738;123,031;123,031
758,113;110,007;124,937;124,937
758,285;133,824;147,383;147,383
758,457;127,791;144,477;144,477
758,628;163,534;156,653;156,653
758,8;137,406;160,359;160,359
758,972;160,86;114,236;114,236
759,144;152,61;182,236;182,236
759,315;173,353;117,834;117,834
759,487;159,279;130,813;130,813
759,659;170,316;115,051;115,051
759,831;191,096;156,02;156,02
